电影名,韦卓链接,百度链接,夸克链接,迅雷链接,其他链接
['我是大哥大 今日から俺は！！ (2018)'],http://www.weizhuos.cn/?p=8344,视频：百度云盘  提取码: swaw https://pan.baidu.com/s/16sTAFSTMtp--EOL7nP68ZQ,,,
['黄昏流星群 (2018)'],http://www.weizhuos.cn/?p=8345,视频：百度云盘 提取码: 2qkx https://pan.baidu.com/s/13Wt4oI2FCANvQTeWtGu55A,,,
['铁证悬案  Cold Case Season 1 - 7'],http://www.weizhuos.cn/?p=8346,,,,
['铁证悬案：真实之门  コールドケース ～真実の扉～ シーズン 1 - 2 季'],http://www.weizhuos.cn/?p=8347,,,,
['人狼 (1999)'],http://www.weizhuos.cn/?p=8348,视频：百度云盘 提取码:15kt https://pan.baidu.com/s/1_oIQGiTSYoZxXz8J7Uf41A,,,
['精英律师\xa0(2019)'],http://www.weizhuos.cn/?p=8349,视频：百度云盘 提取码: 8zkj https://pan.baidu.com/s/1NNH3I4a5HBFUSmDip7DqvQ,,,
['旅行者 tourist ツーリスト (2018)'],http://www.weizhuos.cn/?p=8350,视频：百度云盘 https://pan.baidu.com/s/1u-FwxkJjMMuv9l7tBUT8_w,,,
['昭和元禄落语心中 昭和元禄落語心中\xa0(2018)'],http://www.weizhuos.cn/?p=8351,视频：百度云盘 提取码: tj4i   https://pan.baidu.com/s/1ButTS1rsdgSc-l4SzFcrcg?pwd=tj4i,,,
['大恋爱~与将我忘记的你 大恋愛～僕を忘れる君と (2018)'],http://www.weizhuos.cn/?p=8353,视频：百度云盘  提取码: vaf6 https://pan.baidu.com/s/1fqlPWKR62QAdLhr-pJ9oWA,,,
['Diary ダイアリー (2018)'],http://www.weizhuos.cn/?p=8354,E04视频：百度网盘 https://pan.baidu.com/s/17AssD9h4MdvmGKEARF57nw,,,
['Legal V～前律师・小鸟游翔子～ リーガルV～元弁護士・小鳥遊翔子～ (2018)'],http://www.weizhuos.cn/?p=8355,视频：百度云盘 http://yun.baidu.com/s/16D3NIjzMVcQGfzXS6iYw-Q,,,
['横空出世 (1999)'],http://www.weizhuos.cn/?p=8356,DVDRip视频：百度云盘 https://pan.baidu.com/s/1quAEWPE0X9WbkeTu5ER07w,,,
['爱情麻辣烫 (1997)'],http://www.weizhuos.cn/?p=8357,视频：百度云盘  密码: 3aeg https://pan.baidu.com/s/13gVbnKPGYnDY82jnyoP3IA,,视频：迅雷云盘 提取码：udav https://pan.xunlei.com/s/VMgpRkPUXs0JQhql_U5Poaa0A1,
['反叛的鲁路修 コードギアス 反逆のルルーシュ  1 - 2季'],http://www.weizhuos.cn/?p=8358,剧场版.视频：百度云盘 提取码: y2um https://pan.baidu.com/s/1OXL61dSiwNU1e-9g6KR0CA,,视频：迅雷云盘 https://pan.xunlei.com/s/VNbPquHHjV5EekQTAqPR63O7A1?pwd=yzim#,
['代号基亚斯：反叛的鲁路修3之皇道 コードギアス 反逆のルルーシュⅢ 皇道 (2018)'],http://www.weizhuos.cn/?p=8359,视频：百度云盘 提取码: u5wg https://pan.baidu.com/s/1_UMcxSeZjqugDUIKzxJdZg,,,
['无眠夜 No dormirás (2017)'],http://www.weizhuos.cn/?p=8360,WEB-DL1080p内嵌中英字幕视频：百度网盘 密码：fe59 https://pan.baidu.com/s/1hN_nNxdR3brimQZxw8HmRg,,,
['四月的长久梦 四月の永い夢 (2018)'],http://www.weizhuos.cn/?p=8361,蓝光720p日语中字视频：百度网盘 密码：shm3 https://pan.baidu.com/s/1WyPPvAToOvsoBB4bdCinTQ,,,
['一代巨星桑杰君 Sanju (2018)'],http://www.weizhuos.cn/?p=8362,内嵌中文字幕视频：百度网盘 密码：geu8 https://pan.baidu.com/s/1bhpNbPXN5_7Qo0A0I0n2zQ,,,
['无尽的爱 끝없는 사랑 (2014)'],http://www.weizhuos.cn/?p=8363,视频：百度云盘 https://yun.baidu.com/s/1bn2oGSv,,,
['无尽的爱 Endless Love (2014)'],http://www.weizhuos.cn/?p=8364,视频：百度云盘 提取码: q894 https://pan.baidu.com/s/1hY80177iO5B8_7YNi7WzPA,,,
['复仇天使 M.F.A. (2017)'],http://www.weizhuos.cn/?p=8365,蓝光720p内嵌中英字幕视频：百度云盘 密码：1p9x https://pan.baidu.com/s/1o7IzdiU,,,
['美丽中国 Wild China (2008)'],http://www.weizhuos.cn/?p=8366,视频：百度云盘 https://pan.baidu.com/s/1kT7gmFX,,,
['极道美食王 極道めし (2018)'],http://www.weizhuos.cn/?p=8367,,,,
['物语系列合集 Monogatari Series'],http://www.weizhuos.cn/?p=8368,,,,
['风光大嫁（2017）'],http://www.weizhuos.cn/?p=8369,视频：百度云盘 提取码: g99i https://pan.baidu.com/s/1dQqLGNDWU5vT7aXIh6TF2A,,,
['好奇害死猫 (2006)'],http://www.weizhuos.cn/?p=8370,视频：百度云盘 提取码: q9yk https://pan.baidu.com/s/1R1h_YhNRJBDIrLA6DzSyOA,,,
['乘客 Passengers (2008)'],http://www.weizhuos.cn/?p=8371,视频：百度云盘 https://yun.baidu.com/s/1nvGOolF,,,
['潜水钟 다이빙벨 (2014)'],http://www.weizhuos.cn/?p=8372,视频：百度云盘 提取码: w9zr https://pan.baidu.com/s/1m_BHC6Rq08Ljo6QL1Mgp7w,,,
['潜水钟与蝴蝶 Le scaphandre et le papillon (2007)'],http://www.weizhuos.cn/?p=8373,视频：百度云盘 提取码: 1wxv https://pan.baidu.com/s/1rciwGQ0qWObHBJkbYUGivw,,,
['念念手纪 君の膵臓をたべたい (2017)'],http://www.weizhuos.cn/?p=8374,视频：百度云盘 提取码: rha6 https://pan.baidu.com/s/1kvzXVAf9q_0iaiRlW1rvFg,,,
['活死人之夜 Night of the Living Dead (1968)'],http://www.weizhuos.cn/?p=8375,视频：百度云盘 提取码: 3iax https://pan.baidu.com/s/1VzW9CvAwGosc9Bg2Niu2tA,,,
['冲天 (2015)'],http://www.weizhuos.cn/?p=8376,视频：百度云盘 https://yun.baidu.com/s/1miudIGC,,,
['芝士火腿 (1993)'],http://www.weizhuos.cn/?p=8377,视频：百度云盘 https://pan.baidu.com/s/1kUPEAZ9,,,
['迷幻高中 High School (2010)'],http://www.weizhuos.cn/?p=8378,视频：百度云盘  提取码: gvqf https://pan.baidu.com/s/10q4N9UsbSnLKcmbaUxthXA,,,
['大宋提刑官 1 - 2'],http://www.weizhuos.cn/?p=8379,,,,
['我与尾巴与神乐坂 僕とシッポと神楽坂 (2018)'],http://www.weizhuos.cn/?p=8380,视频：百度云盘 https://pan.baidu.com/s/1QQ-CxX1ZdkPO6sR8vxGkIw,,,
['人间规则 (2018)'],http://www.weizhuos.cn/?p=8381,视频：百度云盘 提取码：jncq https://pan.baidu.com/s/1X3gSCB-a1lLD8VBWeQx4MQ,,,
['冰上奇迹 Miracle (2004)'],http://www.weizhuos.cn/?p=8382,视频：百度云盘 提取码：4nsv https://pan.baidu.com/s/1Hda56jP3WXWwA-M6gL3tmA,,,
['可爱的你 五個小孩的校長 (2015)'],http://www.weizhuos.cn/?p=8383,视频：百度云盘 https://pan.baidu.com/s/1c02klu4,,,
['牙狼：神之牙 牙狼〈GARO〉神ノ牙-KAMINOKIBA- (2017)'],http://www.weizhuos.cn/?p=8384,内嵌中文字幕视频：百度网盘 密码：vvtu https://pan.baidu.com/s/1bFtjR44keq9yD8OXaWNqtQ,,,
['白夜行 백야행 : 하얀 어둠 속을 걷다\xa0(2009)'],http://www.weizhuos.cn/?p=8385,视频：百度云盘 提取码: ch5k   https://pan.baidu.com/s/1yGVhiderdNIDuq46I2SsOQ,,,
['抱歉打扰 Sorry to Bother You (2018)'],http://www.weizhuos.cn/?p=8386,内嵌中英字幕视频：百度网盘 密码：xv7d https://pan.baidu.com/s/1gJn9QFJVy_qkLcSXC02H7Q,,,
['九度空间 The Nines (2007)'],http://www.weizhuos.cn/?p=8387,视频：百度云盘 提取码: 5pdh https://pan.baidu.com/s/1lsfZqLNtEinOqSBuH45_IA,,,
['不怕贼惦记 (2011)'],http://www.weizhuos.cn/?p=8388,视频：百度云盘 提取码: kf9b https://pan.baidu.com/s/1pdjXNjVxmAPlEAlfIN3HBA,,,
['十二夜 열두밤 (2018)'],http://www.weizhuos.cn/?p=8389,视频：百度云盘  提取码: g7yt https://pan.baidu.com/s/1a-VPFFiCIb7jsBPBSP6E2w,,,
['燃情克利夫兰  Hot in Cleveland Season 1 - 6'],http://www.weizhuos.cn/?p=8390,,,,
['最好的遇见 (2018)'],http://www.weizhuos.cn/?p=8391,视频：百度云盘 提取码: 662y https://pan.baidu.com/s/1ODDWBucan9slT_cWfRXeHg,,,视频：在线播放 http://vip.bestkufan.com/app/index.php?i=933&c=entry&eid=187&mov=detail&d_id=36450&op=dianshi
['会长是女仆 会長はメイド様！\xa0(2010)'],http://www.weizhuos.cn/?p=8392,视频：百度云盘  |  百度云盘 https://pan.baidu.com/s/1pJBXb55 https://pan.baidu.com/s/1gd9slgR,,,
['诺亚方舟：创世之旅 Noah (2014)'],http://www.weizhuos.cn/?p=8393,视频：百度云盘 提取码: 15j5 https://pan.baidu.com/s/1kS13SC1uI0JsJpepV-AQUw,,,
['刺杀游戏 Assassination Games (2011)'],http://www.weizhuos.cn/?p=8394,视频：百度云盘 提取码: vrd2 https://pan.baidu.com/s/11GXaSEYxt0GpGs-XvDGh1g,,,
['灵异侦缉档案 靈異偵緝檔案 1 - 2'],http://www.weizhuos.cn/?p=8395,视频：百度云盘 https://pan.baidu.com/share/link?shareid=2625190300&uk=1880600188,,,
['撒玛利亚女孩 사마리아 (2004)'],http://www.weizhuos.cn/?p=8396,,,视频：迅雷云盘 https://pan.xunlei.com/s/VNJKkmYoz8f0DH42m3g9ivmgA1?pwd=bmzs#,
['三枪隐情 Rustom (2016)'],http://www.weizhuos.cn/?p=8397,视频：百度云盘  |  百度云盘 http://yun.baidu.com/s/1mhEKQfu https://pan.baidu.com/s/1dEU9wm1,,,
['瘦长鬼影 Slender Man (2018)'],http://www.weizhuos.cn/?p=8398,视频：百度网盘 密码：ntam https://pan.baidu.com/s/1CAL_WJSrsybUZglpWQouBQ,,,
['藏北秘岭-重返无人区 (2018)'],http://www.weizhuos.cn/?p=8399,视频：百度网盘 密码：nofx https://pan.baidu.com/s/15CXcnr6DhMUSSwiMCKEg8w,,,
['55步 55 Steps (2017)'],http://www.weizhuos.cn/?p=8400,视频：百度云盘 提取码: kdjf https://pan.baidu.com/s/14uCV2RffNo0NaUVE5vq4uw,,,
['单亲度假村 Blended (2014)'],http://www.weizhuos.cn/?p=8401,视频：百度云盘  提取码: puxg https://pan.baidu.com/s/1JpJrc-vyzl7k7uVYvaek9A,,,
['姑奶奶 (2010)'],http://www.weizhuos.cn/?p=8402,视频：百度云盘 提取码: pjnf   https://pan.baidu.com/s/1f4fqxPGOMjusUQKQ-FRjkg,,,
['我们假期做了什么 What We Did On Our Holiday (2014)'],http://www.weizhuos.cn/?p=8404,视频：百度云盘 提取码: qfsa https://pan.baidu.com/s/1OSdRg9IIKPc_5d9UL2gguQ,,,
['假期历险记 Vacation (2015)'],http://www.weizhuos.cn/?p=8405,视频：百度云盘 提取码: 8vnt https://pan.baidu.com/s/1RDaaCqZFcMaiP4L94nVLTg,,,
['鸡同鸭讲 雞同鴨講 (198'],http://www.weizhuos.cn/?p=8406,视频：百度云盘 https://pan.baidu.com/s/1kTyCC6N,,,
['血战1944 Tali-Ihantala 1944 (2007)'],http://www.weizhuos.cn/?p=8407,蓝光1080p视频+外挂中字：百度云盘 密码：a0yf http://pan.baidu.com/s/1qXMPUpA,,,
['海伦·凯勒 The Miracle Worker (1962)'],http://www.weizhuos.cn/?p=8409,,,,
['六人晚餐 (2017)'],http://www.weizhuos.cn/?p=8410,视频：百度云盘 提取码：zhuo https://pan.baidu.com/s/18NW4pATutOBbkJ9q9oZQ7A,,,
['雪莉：现实的愿景 Shirley - Visions of Reality\xa0(2013)'],http://www.weizhuos.cn/?p=8411,,,,
['MR 73左轮枪 MR 73 (2008)'],http://www.weizhuos.cn/?p=8412,视频：百度云盘 提取码：zhuo https://pan.baidu.com/s/1KLsJKoj4Unv1zJcs9xWVNA,,,
['终结者 The Terminator 1 - 5 (1984-2015)'],http://www.weizhuos.cn/?p=8413,5.视频：百度云盘 提取码: 2333 https://pan.baidu.com/s/1Q-IKdSHxLgY5YjUvQU9vDg,,,
['灰色彩虹 รุ้งสีเทา (2016)'],http://www.weizhuos.cn/?p=8414,视频：百度云盘  密码: deif http://pan.baidu.com/s/1pKIUJfd,,,
['女巫布莱尔 The Blair Witch Project (1999)'],http://www.weizhuos.cn/?p=8415,视频：百度云盘 提取码: 5sbk https://pan.baidu.com/s/1arSXPhh7yGcNIPnTVOVeYA,,,
['女巫布莱尔2：影子之书 Book of Shadows: Blair Witch 2 (2000)'],http://www.weizhuos.cn/?p=8416,WEBRip视频+外挂中字：百度云盘  提取码: 6xzn https://pan.baidu.com/s/1vFooxK7HKvYwxs1hCtIwfA,,,
['佛跳墙 (2001)'],http://www.weizhuos.cn/?p=8417,视频：百度云盘 https://yun.baidu.com/s/1pLQLT8Z,,,
['美好人生 원더풀 고스트 (2018)'],http://www.weizhuos.cn/?p=8418,HDRip1080p韩语中字视频：百度网盘 密码：cnq2 https://pan.baidu.com/s/1NRYt5J3gAbrJ9xS8E2thpQ,,,
['明堂 명당 (2018)'],http://www.weizhuos.cn/?p=8419,HDRip1080p韩语中字视频：百度网盘 密码：n5av https://pan.baidu.com/s/1y4OIrL4u-C-GJaWQQl2ygg,,,
['晓看天色暮看云 (2018)'],http://www.weizhuos.cn/?p=8420,视频：百度云盘 提取码: svh9 https://pan.baidu.com/s/19pPNj94eSrSbuGKUhLkHCQ,,,视频：在线播放点我 http://vip.bestkufan.com/app/index.php?i=933&c=entry&eid=187&mov=detail&d_id=35889&op=dianshi
['柏林 베를린 (2013)'],http://www.weizhuos.cn/?p=8421,视频：百度云盘 提取码: cxax https://pan.baidu.com/s/14xX0nVYRjHegkDQoNpNMNw,,,
['完美对垒 퍼펙트 게임 (2011)'],http://www.weizhuos.cn/?p=8422,视频：百度云盘 提取码: s54f https://pan.baidu.com/s/1DfJsSa5eHP88wFiLed54Eg,,,
['优雅的世界 우아한 세계 (2007)'],http://www.weizhuos.cn/?p=8423,视频：百度云盘 提取码：99bg  https://pan.baidu.com/s/1DxQ3eEEcMHhVqfCLvLWiRg,,,
['降龙之白露为霜 (2018)'],http://www.weizhuos.cn/?p=8424,,,视频：迅雷云盘 提取码：qtvj https://pan.xunlei.com/s/VN3riRDNO9_OdToalz3Pz8GkA1,
['情妇 Mistresses Season 1 - 4'],http://www.weizhuos.cn/?p=8425,,,视频：迅雷云盘 提取码：w2ny https://pan.xunlei.com/s/VN-OIoxJtFJwb-mIcRZSyjEKA1,
['二见钟情 While You Were Sleeping (1995)'],http://www.weizhuos.cn/?p=8426,视频：百度云盘 提取码：mwrd  https://pan.baidu.com/s/1JXgILHBe0pnAVsKAcE8NSw,,,
['盛唐幻夜（2018）'],http://www.weizhuos.cn/?p=8427,视频：百度云盘 提取码: zrqu https://pan.baidu.com/s/1cnW48DdPJKn9pNbdXh8fVw,,,视频：在线播放 http://wz.775ka.cn/play.php?play=/tv/Q4ZtbH7lRGXtNX.html
['嫁我吧，哥们 Épouse Moi Mon Pote (2017)'],http://www.weizhuos.cn/?p=8428,视频：百度网盘  提取码：qdpm http://yun.baidu.com/s/19EH091hlrOEIExhBkLpYSw,,,
['唐山大地震 (2010)'],http://www.weizhuos.cn/?p=8429,视频：百度云盘 提取码：4895 https://pan.baidu.com/s/1VcQ4J5HORSI-WyNHtivu0w,,,
['梅根失踪 Megan Is Missing (2011)'],http://www.weizhuos.cn/?p=8430,视频：百度云盘  提取码: 7xh5 https://pan.baidu.com/s/1uPdA8RMWgjaW87oa-qL6LA,,,
['一公升的眼泪 1リットルの涙 (2005)'],http://www.weizhuos.cn/?p=8431,电影版.视频：百度云盘 https://yun.baidu.com/s/1gdgPBYb?errno=0&errmsg=Auth%20Login%20Sucess&&bduss=&ssnerror=0&traceid=,,,
['协商 협상 (2018)'],http://www.weizhuos.cn/?p=8432,视频：百度网盘 提取码: 8any https://pan.baidu.com/s/1V_px_cPsdz5_qMZ45rqqow,,,
['三张面孔 سه چهره (2018)'],http://www.weizhuos.cn/?p=8433,内嵌中文字幕视频：百度网盘 密码：xjwv https://pan.baidu.com/s/1NXXpEzgiErVEQN_fy7C_qQ,,,
['人皮脸 Leatherface (2017)'],http://www.weizhuos.cn/?p=8434,小体积蓝光720p内嵌中英字幕视频：百度云盘 密码：r3va https://pan.baidu.com/s/1c2vtF4O,,,
['鬼三惊 ตีสาม 3D 1 - 2'],http://www.weizhuos.cn/?p=8435,1-2部合集.视频：百度云盘 提取码: 7qbn https://pan.baidu.com/s/1FENvrLChC9BVBtEfUJgPDA,,,
['剑风传奇 剣風伝奇ベルセルク (1997)'],http://www.weizhuos.cn/?p=8436,,,视频：迅雷云盘 提取码：9q99（需在线加载字幕） https://pan.xunlei.com/s/VMaCeVIRu0s6mkAI3Wy44hXbA1,
['剑风传奇 ベルセルク (2016)'],http://www.weizhuos.cn/?p=8437,,,,
['剑风传奇剧场版 剑风传奇黄金时代篇1 - 3'],http://www.weizhuos.cn/?p=8438,,,视频：迅雷云盘 提取码：rb62 https://pan.xunlei.com/s/VMeVzIEGtxQN2nH6nRgog8MIA1,
['脱黑：请脱离黑道 ヤメゴク～ヤクザやめて頂きます～ (2015)'],http://www.weizhuos.cn/?p=8439,视频：百度云盘 https://pan.baidu.com/s/1_djCoegIUway1Vumd8VqQQ,,,
['相棒  season 1 -17 (2002- 2019)【含剧场版+电影版】'],http://www.weizhuos.cn/?p=8440,,,,
['刑警与大盗 ドロ刑－警視庁捜査三課 (2018)'],http://www.weizhuos.cn/?p=8441,视频：百度云盘 提取码: ef12 https://pan.baidu.com/s/1OkCPYhqWQ6XVDy9oeGU4gA,,,
['潘菲洛夫28勇士 28 панфиловцев (2016)'],http://www.weizhuos.cn/?p=8442,视频：百度云盘 提取码: 9esh https://pan.baidu.com/s/1k6zaR0MvTzeBdTRrwNCGKA,,,
['小资女孩向前冲 小資女孩向前衝 (2011)'],http://www.weizhuos.cn/?p=8443,视频：百度云盘 提取码: fq2d https://pan.baidu.com/s/1X6JaAW-VirUDHUkVpzQEdw,,,
['美女与野兽 La belle et la bête (2014)'],http://www.weizhuos.cn/?p=8444,视频：百度云盘 提取码: ubj7 https://pan.baidu.com/s/18db3eiN7CoR7HM33wyUUrA,,,
['俯瞰德国 Deutschland von Oben Season 1 - 4'],http://www.weizhuos.cn/?p=8445,第四季.视频：百度云盘 提取码: d42b https://pan.baidu.com/s/1TwwgU2D_FAMBG8drEvuJVw,,,
['推销员之死 Death of a Salesman (1985)'],http://www.weizhuos.cn/?p=8446,视频：百度云盘  提取码: 6rtn https://pan.baidu.com/s/1DYEFe7LUuCPRrb6CFIR5BA,,,
"[""魔性之线DEVIL'S LINE デビルズライン (2018)""]",http://www.weizhuos.cn/?p=8447,视频：百度网盘 提取码: bsn2 https://pan.baidu.com/s/1d025t-kow8q1fbASuiN3YQ,,,
['墙里的声音 Voice from the Stone (2017)'],http://www.weizhuos.cn/?p=8448,视频：百度云盘  提取码: f5ge https://pan.baidu.com/s/112Rlj9kwROTUrHtx4WmKAQ,,,
['三日 쓰리데이즈 (2014)'],http://www.weizhuos.cn/?p=8449,视频：百度云盘 提取码: qy54 https://pan.baidu.com/s/1A0taK4qEftAKv51tiYXBhA,,,
['从前有座灵剑山 霊剣山 星屑たちの宴  1 - 2季'],http://www.weizhuos.cn/?p=8450,,,,
['卡里加里博士的小屋 Das Cabinet des Dr. Caligari (1920)'],http://www.weizhuos.cn/?p=8451,,,,
['枪花 (2013)'],http://www.weizhuos.cn/?p=8452,视频：百度云盘 http://yun.baidu.com/s/1i494VKL,,,
['花吃了那女孩 (2008)'],http://www.weizhuos.cn/?p=8453,视频：百度云盘 https://yun.baidu.com/s/1hsxhakO,,,
['中南海保镖 (1994)'],http://www.weizhuos.cn/?p=8454,视频：百度云盘 提取码: ci82 https://pan.baidu.com/s/1Bd3rV4Wp04y29j0sqvFMVg,,,
['冥界警局 R.I.P.D. (2013)'],http://www.weizhuos.cn/?p=8455,,,,
['全城高考 (2013)'],http://www.weizhuos.cn/?p=8457,视频：百度云盘 提取码: gncu https://pan.baidu.com/s/1MajrnLRIoT4aXb0aM3bxQA,,,
['杀死一只知更鸟 To Kill a Mockingbird (1962)'],http://www.weizhuos.cn/?p=8458,视频：百度云盘 https://yun.baidu.com/s/1bpLuuVP,,,
['黑夜降临 The Night Comes for Us (2018)'],http://www.weizhuos.cn/?p=8459,内嵌中文字幕视频：百度网盘 密码：nkuf https://pan.baidu.com/s/1qnjb9ppYLIegtaWz0MqBZA,,,
['加尔维斯顿 Galveston (2018)'],http://www.weizhuos.cn/?p=8460,内嵌中英字幕视频：百度网盘 密码：t67x https://pan.baidu.com/s/1BWKZAOwzkH1PXbrUZbv30g,,,
"[""此刻只有你共我 I Think We're Alone Now (2018)""]",http://www.weizhuos.cn/?p=8461,视频：百度网盘 密码：7xd3 https://pan.baidu.com/s/1ZFPjVASSkXFjJ8QzZtd0NQ,,,
['幼儿园教师 The Kindergarten Teacher (2018)'],http://www.weizhuos.cn/?p=8462,视频：百度网盘  提取码：lc60 https://pan.baidu.com/s/1HYUrVIbL0DVv749mL5Q8Qg,,,
['三张面孔 سه چهره (2018)'],http://www.weizhuos.cn/?p=8463,视频：百度网盘 密码：xjwv https://pan.baidu.com/s/1NXXpEzgiErVEQN_fy7C_qQ,,,
['金鸡  1  - 2'],http://www.weizhuos.cn/?p=8464,,,,
['金鸡SSS 金雞SSS (2014)'],http://www.weizhuos.cn/?p=8465,视频：百度云盘  提取码: dupz https://pan.baidu.com/s/1cjIjMGsXrlToVWdKZC8lJA,,,
['神的礼物-14天 신의 선물 -14일 (2014)'],http://www.weizhuos.cn/?p=8466,视频：百度云盘 https://yun.baidu.com/s/1slAh213,,,
['龙门飞甲 (2011)'],http://www.weizhuos.cn/?p=8467,视频：百度云盘 提取码: faiq https://pan.baidu.com/s/1V_mfaxg1ee_4KdF2ypqVwA,,,
['侠僧探案传奇 系列'],http://www.weizhuos.cn/?p=8468,视频：百度云盘 https://yun.baidu.com/s/1jIHpnMm,,,
['万福 まんぷく (2018)'],http://www.weizhuos.cn/?p=8469,视频：百度云盘 提取码: zhuo https://pan.baidu.com/s/1w9fwIu9-zHouIDwdetqcNA?pwd=zhuo,,,
['厉鬼将映 โปรแกรมหน้า วิญญาณอาฆาต (2008)'],http://www.weizhuos.cn/?p=8470,视频：百度云盘 提取码: t9h7 https://pan.baidu.com/s/1HB1Okm57HuIp9QZaQtSMeg,,,
['我的野蛮奶奶 我的野蠻奶奶 (2005)'],http://www.weizhuos.cn/?p=8471,粤语版视频：百度云盘 密码：3e1p http://pan.baidu.com/s/1qWzcmDI,,,
['那时花开 (2002)'],http://www.weizhuos.cn/?p=8472,视频：百度云盘 提取码: f2rg https://pan.baidu.com/s/1Nvfl1nzNl7cLG6mYiU1xjw,,,
['我是山岸，有何贵干 山岸ですがなにか (2017)'],http://www.weizhuos.cn/?p=8473,视频：百度云盘 密码: ih7b https://pan.baidu.com/s/1i5aR8jz,,,
['心慌方 / 异次元杀阵 Cube 1 - 3'],http://www.weizhuos.cn/?p=8474,,,,
['威慑与恐吓 Shock and Awe (2017)'],http://www.weizhuos.cn/?p=8475,内嵌中文字幕视频：百度网盘 密码：x313 https://pan.baidu.com/s/1Zut1XvAJVa7eypN56k87og,,,
['我的左手\xa0(2007)'],http://www.weizhuos.cn/?p=8476,视频：百度云盘 提取码：8888 https://pan.baidu.com/s/1WNdBy1nKJtRU99SzLy9nNw?pwd=8888,,,
['心怀恶意 Malicious (2018)'],http://www.weizhuos.cn/?p=8477,WEBrip720p内嵌中英字幕视频：百度网盘 密码：4sn8 https://pan.baidu.com/s/1pom9WvB9w-z9TIzWjci06w,,,
['北之樱守 北の桜守 (2018)'],http://www.weizhuos.cn/?p=8478,蓝光720p日语中字视频：百度网盘 密码：uye1 https://pan.baidu.com/s/1BsWY3LxahO9n5tImPZ1iZA,,,
['攻克柏林 Падение Берлина (1950)'],http://www.weizhuos.cn/?p=8479,视频：百度云盘 https://pan.baidu.com/s/1Iyn1FQXu-uEh8RH1FtyGfg,,,
['友罪 (2018)'],http://www.weizhuos.cn/?p=8480,蓝光720p日语中字视频：百度网盘 密码：jq8g https://pan.baidu.com/s/1LcV1mWlScZttvNtpBNPwsw,,,
['李尔王 King Lear (2018)'],http://www.weizhuos.cn/?p=8481,视频：百度网盘 密码：xut6 https://pan.baidu.com/s/1H80PkZBj51pphBan8ND5LQ,,,
['克莱默夫妇 Kramer vs. Kramer (1979)'],http://www.weizhuos.cn/?p=8482,视频：百度云盘 提取码: ayqj https://pan.baidu.com/s/1kjbgFQ21HpK0sBjwpolKHg,,,
['红色气球 紅色氣球 (2017)'],http://www.weizhuos.cn/?p=8483,,,视频：迅雷云盘 提取码：wesd https://pan.xunlei.com/s/VMnKi_RQvhvIPMqdURCAyldcA1,
['神秘博士  Doctor Who Season 1 - 11 (2005-2019)[含特辑]'],http://www.weizhuos.cn/?p=8484,,,,
['至尊无上之永霸天下 至尊無上之永霸天下 (1991)'],http://www.weizhuos.cn/?p=8485,视频：百度云盘 提取码: kma5 https://pan.baidu.com/s/10cLQx3BLgBKUomgjrDxHGQ,,,
['黑糖玛奇朵 黑糖瑪奇朵 (2007)'],http://www.weizhuos.cn/?p=8486,视频：百度云盘 http://yun.baidu.com/share/link?shareid=2436954518&uk=3509710632,,,
['超人总动员2 Incredibles 2 (2018)[含第一部]'],http://www.weizhuos.cn/?p=8487,视频：百度云盘 提取码：bjde https://pan.baidu.com/s/1ZCXBsFtSjr-NpyrPyEwJNQ,,视频：迅雷云盘 提取码：zumq https://pan.xunlei.com/s/VMhfjUqZ-dcp_memPYfJoiAdA1,
['关于我转生变成史莱姆这档事 転生したらスライムだった件 (2018)'],http://www.weizhuos.cn/?p=8488,视频：百度云盘 提取码: gu2p. https://pan.baidu.com/s/1kNUH5my7Ze4aIAIickgilA,,视频：迅雷云盘 提取码：fd7w https://pan.xunlei.com/s/VMhyApZithK7iQ01z4dYbJfIA1,
['下町火箭2 下町ロケット 続編\xa0(2018)'],http://www.weizhuos.cn/?p=8489,视频：百度云盘 提取码：prq9 https://pan.baidu.com/s/1rtaCAqUC1RnDWqCI0I0hTg,,,
['黄金神威  ゴールデンカムイ 1 - 3 季'],http://www.weizhuos.cn/?p=8490,,,,
['结婚对象靠抽选 結婚相手は抽選で (2018)'],http://www.weizhuos.cn/?p=8491,视频：百度云盘  提取码: h7ng https://pan.baidu.com/s/1dpuOQtSYHr7oQO1UVXJvyw,,,
['哭声 The Cry (2018)'],http://www.weizhuos.cn/?p=8492,,,,视频：  腾讯微云 https://share.weiyun.com/5DRGfF6
['超胆侠  Daredevil Season 1 - 3'],http://www.weizhuos.cn/?p=8493,,,,
['闹鬼 第一季 Haunted Season 1 (2018)'],http://www.weizhuos.cn/?p=8494,视频：百度网盘 密码：9v5e https://pan.baidu.com/s/1DC_sxtLd5lAYP8sjtpdikg#9v5e,,,
['悬案 Unsolved (2018)'],http://www.weizhuos.cn/?p=8495,视频：百度云盘  提取码: jedj https://pan.baidu.com/s/1tB6uCr108SwCw19RpwaWgA,,,
['逃亡花 (2018)'],http://www.weizhuos.cn/?p=8496,粤语中字视频：百度网盘 密码：tj3e https://pan.baidu.com/s/1lYvqxOoGR0s8u7Hv-JCUPw,,,
['泰坦  Titans Season 1 -  2'],http://www.weizhuos.cn/?p=8497,,,,
